Township,Segment_id,Sage,Year,Freq
T29R09,29-11-34-W,present,1881,1
T29R09,29-11-34-W,present,2019,1
T29R11,29-11-35-S,present,1881,1
T29R11,29-11-35-S,present,2019,1
T29R09,29-11-35-S,present,1881,1
T29R09,29-11-35-S,present,2019,1
T29R11,29-11-35-W,absent,1881,1
T29R11,29-11-35-W,present,2019,1
T29R09,29-11-35-W,absent,1881,1
T29R09,29-11-35-W,present,2019,1
T29R11,29-11-36-S,absent,1881,1
T29R11,29-11-36-S,present,2019,1
T29R09,29-11-36-S,absent,1881,1
T29R09,29-11-36-S,present,2019,1
T29R11,29-11-36-W,present,1881,1
T29R11,29-11-36-W,present,2019,1
T29R09,29-11-36-W,present,1881,1
T29R09,29-11-36-W,present,2019,1
